Points,Latitude,Longitude
2,21.297061,-157.816265
8,21.301040,-157.813404
5,21.301168,-157.820029
5,21.294563,-157.812719
2,21.303555,-157.814622
2,21.298555,-157.819685
5,21.301161,-157.820025
2,21.307866,-157.807765
6,21.307313,-157.811603
2,21.297495,-157.815631
7,21.297549,-157.816192
4,21.294395,-157.818896
3,21.292331,-157.816959
4,21.296330,-157.820446
2,21.296665,-157.818102
7,21.294799,-157.811829
5,21.296024,-157.812215
4,21.298804,-157.817582
3,21.301036,-157.815037
5,21.300806,-157.817668